,Month,Games Won,Games Played,Win-Rate
0,December 2018,9,15,0.6
1,January 2019,5,10,0.5
2,February 2019,20,35,0.5714285714285714
3,March 2019,9,14,0.6428571428571429
4,April 2019,0,0,0.0
5,May 2019,0,0,0.0
6,June 2019,13,17,0.7647058823529411
7,July 2019,23,38,0.6052631578947368
8,August 2019,30,47,0.6382978723404256
9,September 2019,0,0,0.0
10,October 2019,1,3,0.3333333333333333
11,November 2019,0,0,0.0
12,December 2019,0,0,0.0
13,January 2020,4,9,0.4444444444444444
14,February 2020,14,23,0.6086956521739131
15,March 2020,28,44,0.6363636363636364
16,April 2020,52,75,0.6933333333333334
17,May 2020,27,42,0.6428571428571429
18,June 2020,0,0,0.0
19,July 2020,12,16,0.75
20,August 2020,32,48,0.6666666666666666
21,September 2020,21,32,0.65625
22,October 2020,57,89,0.6404494382022472
23,November 2020,27,43,0.627906976744186
24,December 2020,0,0,0.0
25,January 2021,0,0,0.0
26,February 2021,9,15,0.6
27,March 2021,0,0,0.0
28,April 2021,0,0,0.0
29,May 2021,27,40,0.675
30,June 2021,58,75,0.7733333333333333
31,July 2021,77,100,0.77
32,August 2021,37,52,0.7115384615384616
33,September 2021,36,48,0.75
34,October 2021,95,125,0.76
35,November 2021,55,73,0.7534246575342466
36,December 2021,33,53,0.6226415094339622
37,January 2022,43,67,0.6417910447761194
38,February 2022,49,70,0.7
39,March 2022,91,122,0.7459016393442623
40,April 2022,64,79,0.810126582278481
41,May 2022,88,116,0.7586206896551724
42,June 2022,98,134,0.7313432835820896
43,July 2022,71,94,0.7553191489361702
44,August 2022,85,123,0.6910569105691057
45,September 2022,86,112,0.7678571428571429
46,October 2022,72,98,0.7346938775510204
47,November 2022,108,137,0.7883211678832117
48,December 2022,50,58,0.8620689655172413
49,January 2023,98,138,0.7101449275362319
50,February 2023,77,94,0.8191489361702128
51,March 2023,55,70,0.7857142857142857
52,April 2023,100,122,0.819672131147541
53,May 2023,118,154,0.7662337662337663
54,June 2023,119,169,0.7041420118343196
55,July 2023,127,160,0.79375
56,August 2023,111,138,0.8043478260869565
57,September 2023,71,88,0.8068181818181818
58,October 2023,145,194,0.7474226804123711
59,November 2023,79,95,0.8315789473684211
