,Month,Games Won,Games Reported,Win-Rate
0,December 2018,310,578,0.5363321799307958
1,January 2019,719,1304,0.5513803680981595
2,February 2019,767,1337,0.5736724008975318
3,March 2019,770,1372,0.5612244897959183
4,April 2019,645,1076,0.5994423791821561
5,May 2019,611,1063,0.5747883349012229
6,June 2019,668,1124,0.594306049822064
7,July 2019,469,839,0.5589988081048868
8,August 2019,381,728,0.5233516483516484
9,September 2019,282,548,0.5145985401459854
10,October 2019,407,731,0.5567715458276333
11,November 2019,349,648,0.5385802469135802
12,December 2019,364,672,0.5416666666666666
13,January 2020,509,947,0.5374868004223865
14,February 2020,1024,1848,0.5541125541125541
15,March 2020,2280,4088,0.5577299412915852
16,April 2020,4036,7398,0.5455528521221952
17,May 2020,5052,9287,0.5439862172929902
18,June 2020,3760,7018,0.5357651752636079
19,July 2020,2704,5251,0.5149495334222053
20,August 2020,2966,5780,0.5131487889273356
21,September 2020,2745,5374,0.5107927056196502
22,October 2020,2514,4952,0.5076736672051696
23,November 2020,2169,4401,0.49284253578732107
24,December 2020,2416,4541,0.5320414005725611
25,January 2021,2181,4475,0.4873743016759777
26,February 2021,2404,4681,0.5135654774620807
27,March 2021,2598,5115,0.5079178885630499
28,April 2021,2936,5707,0.5144559313124233
29,May 2021,2712,5244,0.517162471395881
30,June 2021,2029,3857,0.5260565206118745
31,July 2021,1344,2659,0.5054531778864235
32,August 2021,1492,2805,0.5319073083778966
33,September 2021,1473,2829,0.5206786850477201
34,October 2021,1506,2796,0.5386266094420601
35,November 2021,1189,2311,0.5144958892254435
36,December 2021,1135,2178,0.5211202938475665
37,January 2022,1349,2661,0.5069522735813604
38,February 2022,1327,2688,0.49367559523809523
39,March 2022,1494,2904,0.5144628099173554
40,April 2022,1736,3330,0.5213213213213214
41,May 2022,1528,2997,0.5098431765098431
42,June 2022,1430,2738,0.5222790357925493
43,July 2022,1723,3180,0.5418238993710692
44,August 2022,1557,3122,0.49871877001921844
45,September 2022,1563,3082,0.5071382219338092
46,October 2022,1851,3647,0.5075404442007129
47,November 2022,1503,3065,0.4903752039151713
48,December 2022,1193,2388,0.49958123953098826
49,January 2023,1570,3191,0.49200877467878407
50,February 2023,1893,3893,0.4862573850500899
51,March 2023,2431,4779,0.5086838250680059
52,April 2023,2474,4906,0.5042804728903384
53,May 2023,1987,4183,0.4750179297155152
54,June 2023,1758,3557,0.4942367163339893
55,July 2023,1963,3961,0.49558192375662713
56,August 2023,1836,3744,0.49038461538461536
57,September 2023,2509,5026,0.49920413847990447
58,October 2023,2880,5834,0.49365786767226605
59,November 2023,2131,4279,0.4980135545688245
